	Unnamed: 0	City	latitude	longitude
5434	5436	COUNCIL	44.728532	44.728532
5435	5437	ORRUM	34.4658861	34.4658861
5436	5438	GROSSE POINTE	42.3861485	42.3861485
5437	5439	ONO	34.861365	34.861365
5438	5440	SPOTSWOOD	40.391774	40.391774
5439	5441	LOGANSPORT	40.7545006	40.7545006
5440	5442	LONG VALLEY	40.78168135	40.78168135
5441	5443	OVERTON	32.2745993	32.2745993
5442	5444	GOWANDA	42.464857	42.464857
5443	5445	TIMBERVILLE	38.6390069	38.6390069
5444	5446	CANFIELD	41.025059	41.025059
5445	5447	DRY CREEK	63.617767	63.617767
5446	5448	MOSELEY	52.4473204	52.4473204
5447	5449	JACKSBORO	33.2195301	33.2195301
5448	5450	VALLEY FORGE	40.0970507	40.0970507
5449	5451	DUNSEITH	48.813057	48.813057
5450	5452	PURVIS	31.1443351	31.1443351
5451	5453	SAINT ANN	18.32992995	18.32992995
5452	5454	ATHOL	39.764787	39.764787
5453	5455	NEW YORK MILLS	46.5180469	46.5180469
5454	5456	MAXTON	34.7351615	34.7351615
5455	5457	HIRAM	33.8756601	33.8756601
5456	5458	VALLEY	41.5595723	41.5595723
5457	5459	COLEBROOK	44.8942649	44.8942649
5458	5460	ALCOA	35.7895271	35.7895271
5459	5461	KILMARNOCK	55.6100589	55.6100589
5460	5462	CHATFIELD	43.8446296	43.8446296
5461	5463	NEW PROVIDENCE	25.1943588	25.1943588
5462	5464	PAHRUMP	36.2083012	36.2083012
5463	5465	BEEVILLE	28.4008319	28.4008319
5464	5466	CEDAR	41.7608608	41.7608608
5465	5467	SELIGMAN	36.5126444	36.5126444
5466	5468	LAKE TAPPS	47.2198644	47.2198644
5467	5469	WEST NEWTON	42.3494088	42.3494088
5468	5470	SEA ISLE CITY	39.1548404	39.1548404
5469	5471	NEW STRAWN	38.2625197	38.2625197
5470	5472	TETON	47.8455676	47.8455676
5471	5473	STEVENS POINT	44.5229223	44.5229223
5472	5474	TRIANGLE	38.5464245	38.5464245
5473	5475	ALMONT	46.7252795	46.7252795
5474	5476	LE ROY	40.8777854	40.8777854
5475	5477	RUMSON	40.372054	40.372054
5476	5478	NEW MARLBOROUGH	42.1053708	42.1053708
5477	5479	LONE ROCK	43.2199621	43.2199621
5478	5480	COPIAGUE	40.6840538	40.6840538
5479	5481	RITTMAN	40.9723644	40.9723644
5480	5482	SAINT GABRIEL	46.31316395	46.31316395
5481	5483	LEROY	31.7315517	31.7315517
5482	5484	YEMASSEE	32.6967679	32.6967679
5483	5485	LAGRANGEVILLE	41.650927	41.650927
5484	5486	HERMANSVILLE	45.711075	45.711075
5485	5487	GRINNELL	39.12723	39.12723
5486	5488	PHILLIPS	40.5888329	40.5888329
5487	5489	DONALDSON	48.5723691	48.5723691
5488	5490	HEARTLAND	32.6894727	32.6894727
5489	5491	MAPLE PLAIN	45.0071851	45.0071851
5490	5492	CADILLAC	44.6360817	44.6360817
5491	5493	SAN ANDREAS	38.1875605	38.1875605
5492	5494	SAINT CROIX FALLS	46.08046265	46.08046265
5493	5495	PARK FOREST	41.4825788	41.4825788
5494	5496	WALNUT COVE	36.295415	36.295415
5495	5497	BRINKLEY	52.1678912	52.1678912
5496	5498	BERMUDA DUNES	33.7438202	33.7438202
5497	5499	PERKINS	40.8501242	40.8501242
5498	5500	SOUTH SIOUX CITY	42.4742963	42.4742963
5499	5501	SICKLERVILLE	39.7173375	39.7173375
5500	5502	JONESBURG	38.8533773	38.8533773
5501	5503	MOULTONBOROUGH	43.755225	43.755225
5502	5504	HERMANTOWN	46.8068852	46.8068852
5503	5505	EAST SETAUKET	40.9418427	40.9418427
5504	5506	DYER	35.4907547	35.4907547
5505	5507	WILLOW PARK	32.7626286	32.7626286
5506	5508	ELMIRA HEIGHTS	42.126159	42.126159
5507	5509	DANIELSVILLE	34.1242771	34.1242771
5508	5510	POCAHONTAS	42.7262681	42.7262681
5509	5511	BAYPORT	45.0212648	45.0212648
5510	5512	TERRELL	30.1990738	30.1990738
5511	5513	MULLENS	37.5832541	37.5832541
5512	5514	WEWOKA	35.1511643	35.1511643
5513	5515	LANDRUM	35.1751148	35.1751148
5514	5516	LOUVIERS	49.2157245	49.2157245
5515	5517	HALLSVILLE	32.5043161	32.5043161
5516	5518	LEBANON JUNCTION	37.8345086	37.8345086
5517	5519	ESTHERVILLE	43.4026638	43.4026638
5518	5520	WEST JEFFERSON	33.6492731	33.6492731
5519	5521	BELL CITY	37.0236611	37.0236611
5520	5522	IVORYTON	41.3485261	41.3485261
5521	5523	GIDDINGS	30.1830498	30.1830498
5522	5524	WESTWORTH VILLAGE	32.7597192	32.7597192
5523	5525	WINTHROP	42.3750976	42.3750976
5524	5526	CRAWLEY	51.1103444	51.1103444
5525	5527	ISLAND LAKE	54.8454116	54.8454116
5526	5528	STANFORDVILLE	41.8673152	41.8673152
5527	5529	IRENE	43.083047	43.083047
5528	5530	SEBASTOPOL	44.6054434	44.6054434
